name,index
Paranitrophenol,1
"Nitric acid, Lead (2+) salt",2
"Selenious acid, Disodium salt",3
Cadmium chloride,4
Cadmium sulfate,5
Cadmium nitrate,6
"Propanoic acid, Ethyl ester",7
Sodium dichromate,8
Acrolein,9
2-Chloroethanol,10
2-Propen-1-amine,11
2-Propenenitrile,12
"2-Methyl-2,4-pentanediol",13
Methylbenzene,14
Phenol,15
Pyridine,16
Aroclor 1254,17
Antimycin,18
1-Heptanol,19
2'-(2-Ethoxyethoxy)ethanol,20
Propoxur,21
"2,2,2-Trichloroethanol",22
Endosulfan,23
Dicofol,24
Aldicarb,25
Dichlobenil,26
"1,2,4-Trichlorobenzene",27
"2,4-Dichlorophenol",28
Ammonium chloride,29
Malathion,30
Fenitrothion,31
Simazine,32
"2,4-Pentanedione",33
Aroclor 1016,34
Chlordane,35
"7-Oxobicyclo[2.2.1]heptane-2,3-dicarboxylic acid, Disodium salt",36
"Pentachlorophenol, Sodium salt",37
Phosphamidon,38
Arsenic trioxide,39
Captan,40
Folpet,41
"Selenic acid, Disodium salt",42
6-[2-(5-Nitro-2-furanyl)ethenyl]-2-pyridinemethanol,43
"O,O-Diethyl O-2-quinoxalinylester, Phosphorothioic acid",44
Sodium vanadate,45
Antimycin A,46
Ethyl acetate,47
Niclosamide,48
Sodium cyanide,49
Kepone,50
Endothall,51
"2-Methyl-1,3-pentanediol",52
Sodium lauryl sulfate,53
Carbofuran,54
Trifluralin,55
Alachlor,56
Methomyl,57
"3-Chloro-N-(2-chloro-4-nitrophenyl)-5-(1,1-dimethylethyl)-6-hydroxy-2-methylbenzamide",58
"[1R-(1a,4a beta,10a alpha]-1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-1-phenanthrenecarboxylic acid",59
Paraquat Dichloride,60
Atrazine,61
Picloram (Acid),62
"2,4-D Butoxyethanol Ester",63
"(E,E)-2-(bis(3,7-Dimethyl-2,6-octadienyl)amino)ethanol",64
"2,4-D Dimethylamine salt",65
"4-(Dimethylamino)-3-methylphenol, Methylcarbamate (ester)",66
EPN,67
Molinate,68
"(1R-trans)-3-(Cyclopentylidenemethyl)-2,2-dimethyl-cyclopropanecarboxylic acid, (5-Phenylmethyl)-3-furanyl)methyl ester",69
diquat-dibromide,70
Thiobencarb,71
Dinitramine,72
Chlorpyrifos,73
Methyl Parathion,74
Naled,75
"1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-(1a,4a,4ab,5a,8a,8ab)-1,4:5,8-dimethanonaphthalene",76
Mexacarbate,77
Cupric nitrate,78
Diuron,79
Diazinon,80
Temephos,81
"(Carboxymethoxy)butanedioic acid, Trisodium salt",82
Glyphosate,83
LAS,84
paraquat-dichloride,85
Formaldehyde,86
DDT,87
"Nitrilotriacetic acid, Trisodium salt",88
"2,4-Dinitrophenol",89
Fenvalerate,90
Cypermethrin,91
Permethrin,92
Trichlorfon,93
Deltamethrin,94
Fenthion,95
Ethion,96
Tributyltin oxide,97
Parathion (Ethyl),98
Coumaphos,99
"N-(4-((4-(Dimethylamino)phenyl)phenylmethylene)-2,5-cyclohexadien-1-ylidene)-N-methylmethananminium, Chloride",100
"1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",101
bioallthrin,102
Lindane,103
"2,3,4,6-Tetrachlorophenol",104
Fluridone,105
Dimethoate,106
Dieldrin,107
"1,2,3,4,5,6-Hexachlorocyclohexane",108
"Tallow alkyl amines, Ethoxylated",109
Benzenamine,110
Dichlorvos,111
Carbaryl,112
3'-Chloro-3-nitrosalicylanilide,113
"alpha,alpha,alpha-Trifluoro-4-nitro-m-cresol, Sodium salt",114
"2-Methylquinoline, Sulfate (1:1)",115
Pydraul 50E,116
2-Propanone,117
Trichloromethane,118
Hexachloroethane,119
"C14-15 Alcohols, Ethoxylated",120
Monocrotophos,121
Propanil,122
1-Propanol,123
Benzene,124
Endrin,125
Methoxychlor,126
TDE,127
Phosmet,128
Lead,129
Mercury,130
Cadmium,131
Chromium,132
Copper,133
Zinc,134
Selenium dioxide,135
Cupric chloride,136
Mercuric chloride,137
"Nitrous acid, Sodium salt",138
Heptachlor,139
Zinc chloride,140
Ammonia,141
Sodium hypochlorite,142
Nickelous chloride,143
Potassium permanganate,144
"Sulfuric acid, Zinc salt (1:1)",145
Lead chloride,146
"Copper sulfate, anhydrous",147
Silver nitrate,148
"3a,4,7,7a-Tetrahydro-4,7-methano-1H-indene",149
Sodium chromate,150
3-Methyl-1-pentyn-3-o1,151
Potassium dichromate,152
Calcium hypochlorite,153
Chlorine,154
Hydrogen sulfide,155
"Arsenenous acid, Sodium salt",156
"Sulfuric acid, Nickel(2+)salt (1:1)",157
Delnav,158
carbofenothion,159
2-Methyl-1-propanol,160
"1,1,2-Trichloroethane",161
Trichloroethene,162
Toxaphene,163
Pyrethrin,164
"Phosphorothioic acid, O-[2-(Ethylthio)ethyl]-O,O-dimethyl ester, Mixt. with S-(2-(Ethylthio)ethyl)-O,O-dimethyl ester ph",165
Rotenone,166
Diquat,167
Azinphos-methyl,168
pentachloorfenol,169
"2,4,6-Trichlorophenol",170
Trifluoro-4-nitro-m-cresol(TFM),171
Salicylaldehyde,172
"alpha-(Nonylphenyl)-omega-hydroxypoly(oxy-1,2-ethanediyl)",173
Napthalene,174
"2,4,5-T ",175
Benzocaine,176
"2,4-D Acid",177
2-Methylphenol,178
"3,4-Dichlorobenzenamine",179
